trip_id,driver_id,date,duration_seconds,distance_meters,city
T-1,D-1,2018-01-30,2030,28094.738611633944,Atlanta (GA)
T-2,D-1,2018-01-04,1237,30989.104102347523,Atlanta (GA)
T-3,D-1,2018-01-21,428,5943.9222736163365,Atlanta (GA)
T-4,D-1,2017-11-08,1725,31447.24321160545,Atlanta (GA)
T-5,D-1,2018-01-02,1253,30887.19485897374,Atlanta (GA)
T-6,D-1,2017-12-05,2085,31885.232645653137,Atlanta (GA)
T-7,D-1,2018-01-22,1359,30701.69827003645,Atlanta (GA)
T-8,D-1,2018-01-29,1266,31200.07911679621,Atlanta (GA)
T-9,D-1,2018-02-03,1250,11478.51939551491,Atlanta (GA)
T-10,D-1,2017-12-18,1452,31063.39667625584,Atlanta (GA)
T-11,D-1,2017-12-12,426,5267.901487835775,Atlanta (GA)
T-12,D-1,2018-01-19,1339,31221.21634481648,Atlanta (GA)
T-13,D-1,2017-12-15,1274,31865.56083497484,Atlanta (GA)
T-14,D-1,2017-12-11,1370,30540.91794766771,Atlanta (GA)
T-15,D-1,2017-11-03,431,4830.628698940603,Atlanta (GA)
T-16,D-1,2018-01-21,1162,7961.888098389213,Atlanta (GA)
T-17,D-1,2017-11-04,1154,20015.374099651643,Atlanta (GA)
T-18,D-1,2017-10-18,973,8537.89109404923,Atlanta (GA)
T-19,D-1,2017-10-02,1926,32225.32423216208,Atlanta (GA)
T-20,D-1,2018-02-01,398,4288.533556629353,Atlanta (GA)
T-21,D-1,2017-10-07,663,2334.914610491901,Atlanta (GA)
T-22,D-1,2017-11-01,1865,28584.36274871853,Atlanta (GA)
T-23,D-1,2018-02-08,536,6145.701969196142,Atlanta (GA)
T-24,D-1,2017-11-21,1150,29948.666769867155,Atlanta (GA)
T-25,D-1,2017-10-27,1332,28910.389661994148,Atlanta (GA)
T-26,D-1,2017-10-24,1147,9991.666546572098,Atlanta (GA)
T-27,D-1,2017-12-27,1322,31616.981560318163,Atlanta (GA)
T-28,D-1,2018-01-04,358,3042.1704544851427,Atlanta (GA)
T-29,D-1,2018-01-04,456,3748.3698524942215,Atlanta (GA)
T-30,D-1,2018-01-12,1253,31649.230969845685,Atlanta (GA)
T-31,D-1,2017-12-23,1488,18486.046624384504,Atlanta (GA)
T-32,D-1,2017-10-21,989,16539.603636011023,Atlanta (GA)
T-33,D-1,2017-11-13,2021,30992.951251981514,Atlanta (GA)
T-34,D-1,2018-02-05,1504,31118.377999846605,Atlanta (GA)
T-35,D-1,2017-09-30,617,7149.839519969408,Atlanta (GA)
T-36,D-1,2017-10-22,1613,23617.683487196296,Atlanta (GA)
T-37,D-1,2018-01-16,1140,16159.441401491218,Atlanta (GA)
T-38,D-1,2017-12-08,1310,30358.85001543326,Atlanta (GA)
T-39,D-1,2017-11-13,1380,26482.49792393044,Atlanta (GA)
T-40,D-1,2017-10-04,1629,27078.218201343523,Atlanta (GA)
T-41,D-1,2017-12-12,1577,31963.17778307192,Atlanta (GA)
T-42,D-1,2017-10-08,1140,16867.520999370656,Atlanta (GA)
T-43,D-1,2018-01-16,837,9791.993398733131,Atlanta (GA)
T-44,D-1,2017-12-31,394,6112.66885203839,Atlanta (GA)
T-45,D-1,2017-10-21,426,4266.848305095759,Atlanta (GA)
T-46,D-1,2018-01-29,1910,35134.238588444685,Atlanta (GA)
T-47,D-1,2017-11-10,1013,16722.70306659649,Atlanta (GA)
T-48,D-1,2017-12-29,1339,15526.345230059544,Atlanta (GA)
T-49,D-1,2017-10-02,1250,28690.326503818997,Atlanta (GA)
T-50,D-1,2018-01-25,538,5909.4874720460175,Atlanta (GA)
T-51,D-2,2017-12-20,1694,14239.973361785384,Atlanta (GA)
T-52,D-2,2018-03-09,2272,31210.277423970085,Atlanta (GA)
T-53,D-2,2018-01-11,2244,27381.048519520056,Atlanta (GA)
T-54,D-2,2017-11-22,803,14698.431955111211,Atlanta (GA)
T-55,D-2,2017-10-19,2027,13438.693980618616,Atlanta (GA)
T-56,D-2,2018-02-14,1775,14508.879341357117,Atlanta (GA)
T-57,D-2,2018-03-09,349,5116.202838955433,Atlanta (GA)
T-58,D-2,2018-01-16,1876,26264.768512503677,Atlanta (GA)
T-59,D-2,2018-03-28,562,5664.261020599921,Atlanta (GA)
T-60,D-2,2017-10-12,2037,15056.938565956432,Atlanta (GA)
T-61,D-2,2018-05-09,1223,14670.737004063903,Atlanta (GA)
T-62,D-2,2017-12-28,548,6498.752843694776,Atlanta (GA)
T-63,D-2,2018-03-19,1241,14579.43876000218,Atlanta (GA)
T-64,D-2,2018-02-13,1909,15017.041782654163,Atlanta (GA)
T-65,D-2,2017-10-31,998,15885.08681015965,Atlanta (GA)
T-66,D-2,2017-11-21,3525,28627.529264840792,Atlanta (GA)
T-67,D-2,2017-10-16,1183,15022.728477472563,Atlanta (GA)
T-68,D-2,2018-03-29,1666,15195.530255410964,Atlanta (GA)
T-69,D-2,2018-05-07,1216,14283.27050958864,Atlanta (GA)
T-70,D-2,2017-11-05,742,11343.033007664128,Atlanta (GA)
T-71,D-2,2018-03-09,959,6437.500792220772,Atlanta (GA)
T-72,D-2,2018-03-30,392,5562.131413340403,Atlanta (GA)
T-73,D-2,2018-03-09,1188,14417.913055078929,Atlanta (GA)
T-74,D-2,2018-01-30,475,6300.624640546799,Atlanta (GA)
T-75,D-2,2017-11-27,1887,14904.852560274048,Atlanta (GA)
T-76,D-2,2018-03-15,2050,14452.956001525094,Atlanta (GA)
T-77,D-2,2017-10-21,541,10705.65549915714,Atlanta (GA)
T-78,D-2,2018-02-26,1788,16150.77295616466,Atlanta (GA)
T-79,D-2,2018-02-26,1738,14826.469499988303,Atlanta (GA)
T-80,D-2,2018-04-15,319,5336.15729802538,Atlanta (GA)
T-81,D-2,2017-11-12,666,4726.292448965506,Atlanta (GA)
T-82,D-2,2018-01-19,2126,26806.396683242645,Atlanta (GA)
T-83,D-2,2017-12-14,660,6939.30020074997,Atlanta (GA)
T-84,D-2,2018-04-18,1320,15686.55892381802,Atlanta (GA)
T-85,D-2,2018-04-16,533,13174.885094469211,Atlanta (GA)
T-86,D-2,2018-04-11,1612,14541.296079187889,Atlanta (GA)
T-87,D-2,2018-04-16,1787,31205.185207999868,Atlanta (GA)
T-88,D-2,2017-11-17,738,6097.8357197470505,Atlanta (GA)
T-89,D-2,2018-04-05,1186,13829.947262170512,Atlanta (GA)
T-90,D-2,2017-10-20,1389,13430.27253649803,Atlanta (GA)
T-91,D-2,2018-01-26,2075,27233.748236727857,Atlanta (GA)
T-92,D-2,2017-10-24,1419,8574.74363895245,Atlanta (GA)
T-93,D-2,2017-11-17,450,5141.667674342054,Atlanta (GA)
T-94,D-2,2018-01-06,399,5438.129718406733,Atlanta (GA)
T-95,D-2,2018-02-03,534,9043.03983999239,Atlanta (GA)
T-96,D-2,2018-03-14,1139,16007.10783898363,Atlanta (GA)
T-97,D-2,2018-04-24,1640,13717.507134226398,Atlanta (GA)
T-98,D-2,2017-12-10,674,10588.351759113326,Atlanta (GA)
T-99,D-2,2017-10-17,1145,15855.010785311,Atlanta (GA)
T-100,D-2,2018-03-07,1823,14901.51499764,Atlanta (GA)
T-101,D-3,2018-12-27,596,11377.90558640957,Atlanta (GA)
T-102,D-3,2018-10-08,3282,95279.07350284688,Atlanta (GA)
T-103,D-3,2018-10-29,1806,16066.259381637545,Atlanta (GA)
T-104,D-3,2018-11-22,3897,94662.6761767094,Atlanta (GA)
T-105,D-3,2019-01-02,653,8515.68890343236,Atlanta (GA)
T-106,D-3,2019-01-19,707,11798.446043919565,Atlanta (GA)
T-107,D-3,2018-12-29,518,10762.794595694846,Atlanta (GA)
T-108,D-3,2018-12-21,608,7545.782629628847,Atlanta (GA)
T-109,D-3,2018-10-25,935,11718.901916681418,Atlanta (GA)
T-110,D-3,2019-01-09,1110,12094.681334197952,Atlanta (GA)
T-111,D-3,2018-11-24,1118,13301.615427955889,Atlanta (GA)
T-112,D-3,2019-01-12,839,11880.61880948764,Atlanta (GA)
T-113,D-3,2018-10-23,984,12526.82023933629,Atlanta (GA)
T-114,D-3,2018-12-14,1046,15658.308452897669,Atlanta (GA)
T-115,D-3,2019-01-02,1823,18301.65566787238,Atlanta (GA)
T-116,D-3,2018-11-12,3045,51744.585298748425,Atlanta (GA)
T-117,D-3,2019-01-28,1220,22268.384884689745,Atlanta (GA)
T-118,D-3,2018-09-22,1199,15212.5173153975,Atlanta (GA)
T-119,D-3,2018-11-22,3622,90789.16326543556,Atlanta (GA)
T-120,D-3,2018-12-11,1543,23244.70165215762,Atlanta (GA)
T-121,D-3,2018-10-25,1360,14850.917641536094,Atlanta (GA)
T-122,D-3,2019-01-23,686,9930.159203493016,Atlanta (GA)
T-123,D-3,2018-12-21,503,7650.235888872463,Atlanta (GA)
T-124,D-3,2018-12-13,736,11652.581847870832,Atlanta (GA)
T-125,D-3,2018-10-04,1105,14885.188150129912,Atlanta (GA)
T-126,D-3,2018-10-03,912,13678.051100534249,Atlanta (GA)
T-127,D-3,2018-11-09,523,7855.9381124800175,Atlanta (GA)
T-128,D-3,2018-11-16,563,9869.724888466231,Atlanta (GA)
T-129,D-3,2019-01-21,946,5979.349512295163,Atlanta (GA)
T-130,D-3,2018-10-15,1928,18985.181233714527,Atlanta (GA)
T-131,D-3,2018-11-20,387,5621.921209081946,Atlanta (GA)
T-132,D-3,2018-12-01,704,10832.254955410945,Atlanta (GA)
T-133,D-3,2018-12-29,1255,13624.27768389964,Atlanta (GA)
T-134,D-3,2018-11-13,411,6036.448247673275,Atlanta (GA)
T-135,D-3,2018-09-22,657,10640.515067042985,Atlanta (GA)
T-136,D-3,2018-10-22,2056,43768.81583623041,Atlanta (GA)
T-137,D-3,2018-09-28,1672,23683.393036960217,Atlanta (GA)
T-138,D-3,2018-11-02,1087,12861.094713887693,Atlanta (GA)
T-139,D-3,2018-09-21,2145,27896.452212138072,Atlanta (GA)
T-140,D-3,2018-11-30,811,8702.629403009054,Atlanta (GA)
T-141,D-3,2019-01-12,1180,15235.237942133028,Atlanta (GA)
T-142,D-3,2018-11-08,1637,15757.192637221293,Atlanta (GA)
T-143,D-3,2018-11-17,1023,14736.869681667784,Atlanta (GA)
T-144,D-3,2018-11-05,2331,52796.20709603604,Atlanta (GA)
T-145,D-3,2018-11-02,365,4209.57016902082,Atlanta (GA)
T-146,D-3,2018-11-30,793,9554.264167177786,Atlanta (GA)
T-147,D-3,2018-11-16,1934,43869.25531901664,Atlanta (GA)
T-148,D-3,2019-01-19,1263,15783.048975862992,Atlanta (GA)
T-149,D-3,2018-12-19,714,9551.126688379254,Atlanta (GA)
T-150,D-3,2018-10-05,803,12605.719089334843,Atlanta (GA)
T-151,D-4,2018-10-15,660,11588.877238952153,Atlanta (GA)
T-152,D-4,2019-02-26,840,14374.291818009566,Atlanta (GA)
T-153,D-4,2018-08-30,1310,18308.580023165207,Atlanta (GA)
T-154,D-4,2018-10-03,1147,15665.239979168044,Atlanta (GA)
T-155,D-4,2019-03-02,683,10665.458102958866,Atlanta (GA)
T-156,D-4,2019-02-19,811,12809.589509914564,Atlanta (GA)
T-157,D-4,2019-01-07,1126,16070.24244554341,Atlanta (GA)
T-158,D-4,2018-11-07,975,9333.624910934772,Atlanta (GA)
T-159,D-4,2018-08-25,720,13037.947568640266,Atlanta (GA)
T-160,D-4,2018-10-03,437,2077.2670024858194,Atlanta (GA)
T-161,D-4,2018-10-16,340,4691.476090392322,Atlanta (GA)
T-162,D-4,2018-09-29,642,7811.64577524269,Atlanta (GA)
T-163,D-4,2018-10-08,1432,36774.9632854092,Atlanta (GA)
T-164,D-4,2019-01-30,1209,16303.449707471687,Atlanta (GA)
T-165,D-4,2018-11-23,880,12085.598398877766,Atlanta (GA)
T-166,D-4,2018-07-14,865,11702.475291095823,Atlanta (GA)
T-167,D-4,2018-08-09,1208,16789.887033097304,Atlanta (GA)
T-168,D-4,2019-02-16,1541,23722.01687070867,Atlanta (GA)
T-169,D-4,2019-01-27,484,10469.181929147704,Atlanta (GA)
T-170,D-4,2018-07-12,1728,48340.69418002108,Atlanta (GA)
T-171,D-4,2019-02-15,1105,27878.936441515307,Atlanta (GA)
T-172,D-4,2019-02-20,1713,33580.51091979394,Atlanta (GA)
T-173,D-4,2018-09-21,743,10800.6669725356,Atlanta (GA)
T-174,D-4,2018-11-27,1218,17658.404980548472,Atlanta (GA)
T-175,D-4,2019-01-30,416,4889.155313267187,Atlanta (GA)
T-176,D-4,2019-02-06,1538,35372.51223535851,Atlanta (GA)
T-177,D-4,2018-12-26,671,9889.640683416095,Atlanta (GA)
T-178,D-4,2018-09-22,1373,22449.15794077785,Atlanta (GA)
T-179,D-4,2018-08-20,459,11500.019241384578,Atlanta (GA)
T-180,D-4,2018-11-02,767,9906.638728108272,Atlanta (GA)
T-181,D-4,2018-07-30,946,13675.873032983642,Atlanta (GA)
T-182,D-4,2019-02-27,880,11088.94865869752,Atlanta (GA)
T-183,D-4,2019-02-23,633,15361.732788437275,Atlanta (GA)
T-184,D-4,2018-08-16,1445,18670.25943365137,Atlanta (GA)
T-185,D-4,2018-11-22,821,10877.2818718692,Atlanta (GA)
T-186,D-4,2018-08-07,783,15170.159521752945,Atlanta (GA)
T-187,D-4,2018-12-04,737,10894.297950060753,Atlanta (GA)
T-188,D-4,2019-01-18,608,12471.300317308349,Atlanta (GA)
T-189,D-4,2018-12-20,1341,16636.50188811876,Atlanta (GA)
T-190,D-4,2019-01-21,1574,43532.83091710082,Atlanta (GA)
T-191,D-4,2018-08-12,459,11715.655442179805,Atlanta (GA)
T-192,D-4,2018-10-10,2108,23007.612802627515,Atlanta (GA)
T-193,D-4,2018-08-17,1061,16000.5962006952,Atlanta (GA)
T-194,D-4,2018-10-07,779,8815.064519987418,Atlanta (GA)
T-195,D-4,2019-02-26,1209,16182.72846221713,Atlanta (GA)
T-196,D-4,2018-11-14,914,7793.2477070526365,Atlanta (GA)
T-197,D-4,2018-07-15,1741,43469.93649606533,Atlanta (GA)
T-198,D-4,2019-02-07,916,12227.858372515338,Atlanta (GA)
T-199,D-4,2018-08-01,768,12510.783226418407,Atlanta (GA)
T-200,D-4,2018-12-12,768,14196.51297693686,Atlanta (GA)
T-201,D-5,2018-11-25,1453,26395.99396003746,Atlanta (GA)
T-202,D-5,2018-12-31,369,1272.1203878273088,Atlanta (GA)
T-203,D-5,2018-12-09,1094,20900.99420042925,Atlanta (GA)
T-204,D-5,2019-01-07,1964,33389.27461281184,Atlanta (GA)
T-205,D-5,2019-02-08,1913,32907.37221272616,Atlanta (GA)
T-206,D-5,2019-02-10,1114,22420.55454181649,Atlanta (GA)
T-207,D-5,2019-01-05,1273,24806.246046580265,Atlanta (GA)
T-208,D-5,2018-12-19,2203,28553.26508014026,Atlanta (GA)
T-209,D-5,2019-01-04,1763,30544.973636525014,Atlanta (GA)
T-210,D-5,2019-01-14,1251,20682.718791898824,Atlanta (GA)
T-211,D-5,2019-02-22,1412,23115.11361610347,Atlanta (GA)
T-212,D-5,2019-02-21,1723,28970.82938910864,Atlanta (GA)
T-213,D-5,2018-12-29,1334,23611.00889663713,Atlanta (GA)
T-214,D-5,2019-01-29,1451,25398.51133667301,Atlanta (GA)
T-215,D-5,2019-01-08,1475,29058.51268681261,Atlanta (GA)
T-216,D-5,2018-12-17,1657,23563.73987084822,Atlanta (GA)
T-217,D-5,2018-12-16,831,16280.169413064748,Atlanta (GA)
T-218,D-5,2018-12-18,834,16634.245753324554,Atlanta (GA)
T-219,D-5,2018-12-09,1600,28335.64866458349,Atlanta (GA)
T-220,D-5,2019-02-04,1472,26831.197535563893,Atlanta (GA)
T-221,D-5,2018-12-16,1311,23692.96582009024,Atlanta (GA)
T-222,D-5,2019-03-01,1498,24004.798111162363,Atlanta (GA)
T-223,D-5,2018-11-30,1489,23187.212813827657,Atlanta (GA)
T-224,D-5,2018-12-08,1549,23772.98063756589,Atlanta (GA)
T-225,D-5,2018-12-17,392,1567.1000232270983,Atlanta (GA)
T-226,D-5,2018-12-05,981,16781.461951045345,Atlanta (GA)
T-227,D-5,2019-01-10,1184,19020.92669994264,Atlanta (GA)
T-228,D-5,2018-11-25,1260,22713.851474026767,Atlanta (GA)
T-229,D-5,2019-02-12,1216,23461.646684531803,Atlanta (GA)
T-230,D-5,2019-01-26,1615,30582.64024327145,Atlanta (GA)
T-231,D-5,2019-02-11,1487,27614.100599733694,Atlanta (GA)
T-232,D-5,2018-12-28,1664,24020.27496369045,Atlanta (GA)
T-233,D-5,2018-12-13,1805,32871.48254400249,Atlanta (GA)
T-234,D-5,2019-01-06,1205,21041.405551575757,Atlanta (GA)
T-235,D-5,2019-02-24,1407,26291.57959539772,Atlanta (GA)
T-236,D-5,2019-03-03,1549,28104.928262277,Atlanta (GA)
T-237,D-5,2019-02-17,948,18796.83720343325,Atlanta (GA)
T-238,D-5,2019-02-23,1675,28151.117160582227,Atlanta (GA)
T-239,D-5,2018-12-17,1780,34166.76609575005,Atlanta (GA)
T-240,D-5,2019-01-04,1289,21469.7578105849,Atlanta (GA)
T-241,D-5,2019-01-25,1822,21746.80267211257,Atlanta (GA)
T-242,D-5,2018-12-23,1608,29103.88415216275,Atlanta (GA)
T-243,D-5,2018-12-27,995,17117.922759433255,Atlanta (GA)
T-244,D-5,2019-01-28,1433,28264.470584656698,Atlanta (GA)
T-245,D-5,2019-02-24,1086,20964.49415498501,Atlanta (GA)
T-246,D-5,2019-01-28,1243,22299.483899258696,Atlanta (GA)
T-247,D-5,2019-02-18,1263,22035.82307907353,Atlanta (GA)
T-248,D-5,2019-02-19,1595,28407.528073610403,Atlanta (GA)
T-249,D-5,2019-01-21,2016,27408.63613456197,Atlanta (GA)
T-250,D-5,2019-02-22,1318,22934.785374494517,Atlanta (GA)
T-251,D-6,2018-04-23,591,14285.384424276386,Atlanta (GA)
T-252,D-6,2018-06-03,413,7313.180379948647,Atlanta (GA)
T-253,D-6,2018-07-04,301,3937.2153429017217,Atlanta (GA)
T-254,D-6,2018-07-20,331,6610.936975519417,Atlanta (GA)
T-255,D-6,2018-04-21,985,19928.75539767266,Atlanta (GA)
T-256,D-6,2018-06-28,504,15542.027338851256,Atlanta (GA)
T-257,D-6,2018-07-14,634,15414.737192863668,Atlanta (GA)
T-258,D-6,2018-06-15,1053,6181.190607135676,Atlanta (GA)
T-259,D-6,2018-03-27,489,11414.875361472888,Atlanta (GA)
T-260,D-6,2018-06-19,579,6272.600284037055,Atlanta (GA)
T-261,D-6,2018-06-12,1887,13219.47097861676,Atlanta (GA)
T-262,D-6,2018-04-29,558,17211.62404883805,Atlanta (GA)
T-263,D-6,2018-06-24,613,17764.236623258155,Atlanta (GA)
T-264,D-6,2018-06-02,315,3819.4549116596,Atlanta (GA)
T-265,D-6,2018-03-28,545,12567.470127235309,Atlanta (GA)
T-266,D-6,2018-07-05,565,14436.837869426085,Atlanta (GA)
T-267,D-6,2018-04-19,546,14501.035526751504,Atlanta (GA)
T-268,D-6,2018-06-05,2012,35838.12765288948,Atlanta (GA)
T-269,D-6,2018-05-07,511,14431.011442710098,Atlanta (GA)
T-270,D-6,2018-05-02,823,13161.664683277966,Atlanta (GA)
T-271,D-6,2018-07-16,860,14227.135660740803,Atlanta (GA)
T-272,D-6,2018-04-21,1326,25776.68857004505,Atlanta (GA)
T-273,D-6,2018-05-24,507,10409.218602850746,Atlanta (GA)
T-274,D-6,2018-06-18,1267,24357.31334167325,Atlanta (GA)
T-275,D-6,2018-04-03,1039,25094.05094490944,Atlanta (GA)
T-276,D-6,2018-04-21,1887,28345.796846623933,Atlanta (GA)
T-277,D-6,2018-06-01,542,14672.117704331136,Atlanta (GA)
T-278,D-6,2018-06-23,385,3036.3382861456685,Atlanta (GA)
T-279,D-6,2018-06-04,470,14333.580714082878,Atlanta (GA)
T-280,D-6,2018-06-21,674,11886.070397498528,Atlanta (GA)
T-281,D-6,2018-06-21,374,5415.04431553019,Atlanta (GA)
T-282,D-6,2018-05-18,319,7130.238787186075,Atlanta (GA)
T-283,D-6,2018-05-06,1273,24894.907158490096,Atlanta (GA)
T-284,D-6,2018-04-30,626,14562.31531022007,Atlanta (GA)
T-285,D-6,2018-04-26,537,14560.673876348244,Atlanta (GA)
T-286,D-6,2018-05-31,442,12214.125570010649,Atlanta (GA)
T-287,D-6,2018-07-17,427,12449.824564653398,Atlanta (GA)
T-288,D-6,2018-06-02,339,4641.351615171555,Atlanta (GA)
T-289,D-6,2018-07-19,2190,27177.05441420421,Atlanta (GA)
T-290,D-6,2018-06-18,490,14493.470413919653,Atlanta (GA)
T-291,D-6,2018-06-22,593,12520.956459569376,Atlanta (GA)
T-292,D-6,2018-05-18,553,11127.26712812922,Atlanta (GA)
T-293,D-6,2018-04-30,418,11383.229837545075,Atlanta (GA)
T-294,D-6,2018-06-17,722,17256.132698416826,Atlanta (GA)
T-295,D-6,2018-05-03,531,14517.856458210585,Atlanta (GA)
T-296,D-6,2018-04-21,1248,7137.201932399363,Atlanta (GA)
T-297,D-6,2018-06-15,594,12608.94317458384,Atlanta (GA)
T-298,D-6,2018-06-26,524,12476.03499766425,Atlanta (GA)
T-299,D-6,2018-07-10,740,13143.802755480612,Atlanta (GA)
T-300,D-6,2018-05-05,623,14511.184246137233,Atlanta (GA)
T-301,D-7,2018-12-05,399,5980.304796527077,Atlanta (GA)
T-302,D-7,2019-02-14,1609,43940.05205253988,Atlanta (GA)
T-303,D-7,2018-10-22,557,7445.487452023978,Atlanta (GA)
T-304,D-7,2019-02-23,340,5631.312848486186,Atlanta (GA)
T-305,D-7,2019-01-05,1241,40390.4209393949,Atlanta (GA)
T-306,D-7,2018-11-20,461,6788.785000650773,Atlanta (GA)
T-307,D-7,2019-01-08,1003,9753.49710002983,Atlanta (GA)
T-308,D-7,2019-01-21,580,8726.84017015566,Atlanta (GA)
T-309,D-7,2019-01-24,590,7218.487554758993,Atlanta (GA)
T-310,D-7,2018-10-25,384,5357.465319634161,Atlanta (GA)
T-311,D-7,2019-02-28,569,7473.354988382687,Atlanta (GA)
T-312,D-7,2019-01-12,1122,22678.30475109013,Atlanta (GA)
T-313,D-7,2019-01-31,529,7540.778712327531,Atlanta (GA)
T-314,D-7,2019-02-11,699,13210.026428102154,Atlanta (GA)
T-315,D-7,2019-03-02,417,8198.243340269413,Atlanta (GA)
T-316,D-7,2019-02-24,703,6824.766082939522,Atlanta (GA)
T-317,D-7,2019-01-16,869,5883.128990064006,Atlanta (GA)
T-318,D-7,2018-12-21,586,9195.464321655903,Atlanta (GA)
T-319,D-7,2018-11-08,974,29416.058769973097,Atlanta (GA)
T-320,D-7,2019-02-25,2066,22381.650318636486,Atlanta (GA)
T-321,D-7,2019-02-25,1354,29178.794084810703,Atlanta (GA)
T-322,D-7,2019-03-04,308,3827.1968922655783,Atlanta (GA)
T-323,D-7,2019-02-17,1241,15861.51356280389,Atlanta (GA)
T-324,D-7,2018-11-19,661,9440.124814424717,Atlanta (GA)
T-325,D-7,2019-02-25,518,11243.238633670991,Atlanta (GA)
T-326,D-7,2019-01-10,638,8410.28824845168,Atlanta (GA)
T-327,D-7,2018-12-14,1273,10472.137577601425,Atlanta (GA)
T-328,D-7,2018-11-15,607,7427.153099500956,Atlanta (GA)
T-329,D-7,2018-10-27,399,5525.922910504086,Atlanta (GA)
T-330,D-7,2019-01-01,403,6455.495917552143,Atlanta (GA)
T-331,D-7,2018-11-06,473,4988.5173734104765,Atlanta (GA)
T-332,D-7,2018-12-26,363,7668.608241295165,Atlanta (GA)
T-333,D-7,2018-11-20,971,3338.199245906878,Atlanta (GA)
T-334,D-7,2019-01-14,982,14112.185001850648,Atlanta (GA)
T-335,D-7,2019-01-12,628,8796.691685919544,Atlanta (GA)
T-336,D-7,2019-01-14,360,7864.4865410139155,Atlanta (GA)
T-337,D-7,2019-01-03,490,6778.630887934164,Atlanta (GA)
T-338,D-7,2019-01-02,434,7797.1342338233535,Atlanta (GA)
T-339,D-7,2018-11-06,1278,35976.52796669797,Atlanta (GA)
T-340,D-7,2019-01-13,1426,18209.977782552804,Atlanta (GA)
T-341,D-7,2018-10-18,1212,31923.75261058194,Atlanta (GA)
T-342,D-7,2019-02-24,895,11813.667354986965,Atlanta (GA)
T-343,D-7,2018-12-23,732,11209.634973565524,Atlanta (GA)
T-344,D-7,2018-12-30,1295,28060.36417596793,Atlanta (GA)
T-345,D-7,2019-01-11,391,7037.856629521945,Atlanta (GA)
T-346,D-7,2018-11-08,500,8216.144879874466,Atlanta (GA)
T-347,D-7,2019-01-25,608,7123.297238107366,Atlanta (GA)
T-348,D-7,2019-02-07,532,8397.32719272843,Atlanta (GA)
T-349,D-7,2018-10-31,393,6199.437348103439,Atlanta (GA)
T-350,D-7,2018-10-26,837,10131.001823796654,Atlanta (GA)
T-351,D-8,2017-08-07,966,9102.196561826488,Atlanta (GA)
T-352,D-8,2017-09-06,983,10187.298566158564,Atlanta (GA)
T-353,D-8,2017-08-21,780,9436.372036496672,Atlanta (GA)
T-354,D-8,2017-08-16,1693,11204.165226652724,Atlanta (GA)
T-355,D-8,2017-08-10,958,14455.802489274309,Atlanta (GA)
T-356,D-8,2017-08-28,1026,10882.26593205872,Atlanta (GA)
T-357,D-8,2017-07-17,982,11026.379127028997,Atlanta (GA)
T-358,D-8,2017-09-17,3991,105084.34612459576,Atlanta (GA)
T-359,D-8,2017-08-15,3062,23989.92335163167,Atlanta (GA)
T-360,D-8,2017-09-19,813,6713.034714915886,Atlanta (GA)
T-361,D-8,2017-09-27,790,9014.936285836013,Atlanta (GA)
T-362,D-8,2017-07-23,360,6104.738327070618,Atlanta (GA)
T-363,D-8,2017-08-03,768,8627.816113545121,Atlanta (GA)
T-364,D-8,2017-07-21,838,9832.990063424766,Atlanta (GA)
T-365,D-8,2017-08-06,1881,24221.220698989284,Atlanta (GA)
T-366,D-8,2017-09-03,786,12554.380382070109,Atlanta (GA)
T-367,D-8,2017-09-24,1740,50741.237588757256,Atlanta (GA)
T-368,D-8,2017-08-13,2591,63073.201127297696,Atlanta (GA)
T-369,D-8,2017-10-18,695,8472.619955225095,Atlanta (GA)
T-370,D-8,2017-08-01,414,3275.0193563501884,Atlanta (GA)
T-371,D-8,2017-09-26,907,11520.046902525128,Atlanta (GA)
T-372,D-8,2017-08-09,418,3461.239998793229,Atlanta (GA)
T-373,D-8,2017-09-18,890,11095.87466071069,Atlanta (GA)
T-374,D-8,2017-09-12,656,9447.07217105815,Atlanta (GA)
T-375,D-8,2017-09-22,1373,13160.258015526704,Atlanta (GA)
T-376,D-8,2017-08-13,723,15530.970553632307,Atlanta (GA)
T-377,D-8,2017-09-07,1470,9839.932130268398,Atlanta (GA)
T-378,D-8,2017-09-06,1833,17515.071529365243,Atlanta (GA)
T-379,D-8,2017-08-25,964,11020.033164568997,Atlanta (GA)
T-380,D-8,2017-10-09,784,9922.45519725678,Atlanta (GA)
T-381,D-8,2017-08-23,1511,13169.02002331975,Atlanta (GA)
T-382,D-8,2017-07-17,1036,10700.36952911344,Atlanta (GA)
T-383,D-8,2017-08-09,1505,10817.433437317935,Atlanta (GA)
T-384,D-8,2017-08-09,851,11117.798194523068,Atlanta (GA)
T-385,D-8,2017-07-21,6003,109013.22586323365,Atlanta (GA)
T-386,D-8,2017-08-24,1238,11571.609685491145,Atlanta (GA)
T-387,D-8,2017-10-02,1567,8017.7511379372145,Atlanta (GA)
T-388,D-8,2017-08-08,864,10433.245521382763,Atlanta (GA)
T-389,D-8,2017-08-15,927,10002.143153020355,Atlanta (GA)
T-390,D-8,2017-08-27,1548,21526.51891562656,Atlanta (GA)
T-391,D-8,2017-08-28,2878,32375.271268974622,Atlanta (GA)
T-392,D-8,2017-10-05,954,9096.027065795606,Atlanta (GA)
T-393,D-8,2017-08-12,1050,13007.067709221294,Atlanta (GA)
